timestamp,latency_ms,tokens_prompt,tokens_completion,tokens_total,estimated_cost_usd
2025-11-16 15:19:49,9741.746800,474,97,571,0.000129
2025-11-16 21:13:47,12796.063100,455,71,526,0.000111
